"filename", "language", "C#", "Markdown", "comment", "blank", "total"
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Plants\Wallnut.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Plants\Wallnut.cs", "C#", 12, 0, 0, 2, 14
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Projectiles\IcePea.cs", "C#", 35, 0, 1, 8, 44
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Projectiles\Interfaces.cs", "C#", 8, 0, 0, 1, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Projectiles\Pea.cs", "C#", 35, 0, 1, 8, 44
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Projectiles\Projectile.cs", "C#", 19, 0, 2, 5, 26
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\BucketZombie.Designer.cs", "C#", 8, 0, 1, 4, 13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\BucketZombie.cs", "C#", 30, 0, 0, 4, 34
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\ConeheadZombie.Designer.cs", "C#", 8, 0, 1, 4, 13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\ConeheadZombie.cs", "C#", 30, 0, 0, 4, 34
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\NormalZombie.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\NormalZombie.cs", "C#", 6, 0, 0, 1, 7
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\ScreenDoorZombie.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\ScreenDoorZombie.cs", "C#", 6, 0, 0, 2, 8
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\Entities\Zombies\Zombie.cs", "C#", 180, 0, 27, 25, 232
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\AutoInteractBase\AutoInteractor.cs", "C#", 41, 0, 3, 10, 54
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\AutoInteractBase\IInteractable.cs", "C#", 7, 0, 0, 0, 7
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\AutoInteractBase\InteractorButton.Designer.cs", "C#", 8, 0, 1, 4, 13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\AutoInteractBase\InteractorButton.cs", "C#", 44, 0, 1, 4, 49
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\AutoInteractBase\InteractorPointer.cs", "C#", 28, 0, 0, 4, 32
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\Dave.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\Dave.cs", "C#", 179, 0, 21, 40, 240
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\EndLevelLootChest.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\EndLevelLootChest.cs", "C#", 35, 0, 1, 5, 41
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\Sun.Designer.cs", "C#", 8, 0, 1, 3, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\Sun.cs", "C#", 31, 0, 0, 4, 35
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\ZombieAttackArea.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InLevel\ZombieAttackArea.cs", "C#", 19, 0, 0, 5, 24
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InMazeMap\PopInfo\UISpotInfo.cs", "C#", 16, 0, 0, 1, 17
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InMazeMap\PopInfo\UITombInfo.cs", "C#", 67, 0, 5, 14, 86
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InMazeMap\Spot.cs", "C#", 28, 0, 3, 5, 36
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InMazeMap\Tomb.cs", "C#", 58, 0, 4, 5, 67
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\InMazeMap\TombInteractor.cs", "C#", 33, 0, 7, 2, 42
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\CardOnlyView.Designer.cs", "C#", 9, 0, 1, 5, 15
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\CardOnlyView.cs", "C#", 27, 0, 0, 2, 29
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\Seed.Designer.cs", "C#", 11, 0, 1, 7, 19
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\Seed.cs", "C#", 134, 0, 13, 16, 163
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\UICard.Designer.cs", "C#", 8, 0, 1, 3, 12
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\UICard.cs", "C#", 56, 0, 2, 10, 68
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\UILevelChooseLootChoice.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\UI\UILevelChooseLootChoice.cs", "C#", 78, 0, 3, 14, 95
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\ZombieArmor\Base\Armor.cs", "C#", 109, 0, 13, 25, 147
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\ZombieArmor\Base\HealthArmor.cs", "C#", 6, 0, 0, 0, 6
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\ZombieArmor\Base\ShieldArmor.cs", "C#", 6, 0, 0, 0, 6
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\ZombieArmor\Bucket.Designer.cs", "C#", 6, 0, 1, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\ZombieArmor\Bucket.cs", "C#", 7, 0, 0, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\ZombieArmor\Conehead.cs", "C#", 7, 0, 0, 2, 9
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Gameplay\ViewControllers\ZombieArmor\ScreenDoor.cs", "C#", 7, 0, 0, 1, 8
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Test\GameTestManager.cs", "C#", 28, 0, 0, 4, 32
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\Test\Tester.cs", "C#", 17, 0, 0, 1, 18
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UIGameStartPanel.Designer.cs", "C#", 3, 0, 0, 0, 3
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UIGameStartPanel.cs", "C#", 6, 0, 1, 0, 7
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelChooseCardPanel.Designer.cs", "C#", -3, 0, 0, 0, -3
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelChooseCardPanel.cs", "C#", 8, 0, 0, 0, 8
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelChooseLootPanel.Designer.cs", "C#", 42, 0, 1, 8, 51
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelChooseLootPanel.cs", "C#", 55, 0, 2, 11, 68
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelDefeatPanel.Designer.cs", "C#", 31, 0, 1, 7, 39
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelDefeatPanel.cs", "C#", 26, 0, 1, 6, 33
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelPanel.Designer.cs", "C#", -3, 0, 0, 0, -3
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UILevelPanel.cs", "C#", 12, 0, 1, 0, 13
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UISceneTransitionPanel.Designer.cs", "C#", -3, 0, 0, 0, -3
"d:\FileFolder\Life\Unity\Projects\PVZR\PVZ-R\Assets\Scripts\UI\UISceneTransitionPanel.cs", "C#", -2, 0, 0, 0, -2
"Total", "-", 3074, 79, 487, 638, 4278
